Response ID,What year were you born?,Gender,job industry, job industry (Detailed),occupation,Occupation (Detailed),Number of employers,Manager,Household,Job tenure,Metro / Regional,"Thinking about your current job, how much of your time did you spend remote working last year?",My organisation encouraged people to work remotely,My organisation was well prepared for me to work remotely,It was common for people in my organisation to work remotely,It was easy to get permission to work remotely,I could easily collaborate with colleagues when working remotely,I would recommend remote working to others,Time prefered to work remotely,"In last 3 months, time spent on remote working","In last 3 months,  My organisation encouraged people to work remotely","In last 3 months,  My organisation was well prepared for me to work remotely","In last 3 months, It was common for people in my organisation to work remotely","In last 3 months, It was easy to get permission to work remotely","in last 3 months, collaboration with colleagues when working remotely","In last 3 months, I would recommend remote working to others","In the last 3 months, preferred time to work remotely ",Time prefer to work remotely after COVID is cured,Encourage more remote working after COVID is cured,Make changes to support remote working after COVID is cured,Prefer to work remotely after COVID is cured,Productivity,Time for preparing  and commuting on employer's workplace,Working hours on employer's workplace,Time for personal and family while on employer's workplace,Time for Caring and domestic responsibilities while on employer's workplace,Time for preparing for work and commuting while on remote work,how many hours do you work remotely,Time for personal and family while on remote work,Time for Caring and domestic responsibilities while on remote work,The most significant barrier to doing your work remotely,Compare remote working to working at your employer痴 workplace
425,1979,Male,Financial and Insurance Services,Insurance and Superannuation Funds,Managers,Specialist Managers,More than 200,Yes,Single person,More than 5 years,Metro,100% - I spent all of my time remote working,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,20%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,50% - About half of my time,Somewhat disagree,Somewhat disagree,Somewhat disagree,My productivity is about same when I work remotely,1,7,1,1,0,7,3,1,"IT equipment (computer, printer, etc.)",My on-the-job learning opportunities
426,1974,Male,Retail Trade,Other Store-Based Retailing,Professionals,ICT Professionals,More than 200,No,Group household,Between 1 and 5 years,Metro,Less than 10% of my time,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,50% - About half of my time,60%,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,100% - All of my time,40%,Somewhat disagree,Somewhat disagree,Somewhat agree,My productivity is about same when I work remotely,3,8,5,1,1,8,6,1,Poor management,Preparing for work and commuting
427,1966,Female,Information Media and Telecommunications,Telecommunications Services,Managers,Specialist Managers,More than 200,No,Single person,Between 6 and 12 months,Metro,Less than 10% of my time,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,10%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,70%,Strongly agree,Strongly agree,Strongly agree,I知 30% more productive when working remotely,2.5,8,8,5.5,0.5,9,7.5,7,Feeling left out and/or isolated,My work-life balance
428,1980,Male,Information Media and Telecommunications,"Internet Service Providers, Web Search Portals and Data Processing Services",Professionals,ICT Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,40%,100% - I spent all of my time remote working,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,100% - All of my time,100% - All of my time,Somewhat agree,Neither agree nor disagree,Somewhat agree,I知 20% less productive when working remotely,1,8,3,1,0,6,5,1,Difficulty collaborating remotely,My working relationships
429,1958,Female,Financial and Insurance Services,Insurance and Superannuation Funds,Professionals,Health Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,10%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,50% - About half of my time,Strongly agree,Strongly agree,Strongly agree,I知 50% more productive when working remotely (or more),2,7,4,4,1,8,4,4,Connectivity (internet connection),Preparing for work and commuting
430,1969,Male,Financial and Insurance Services,Finance,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,30%,80%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,50% - About half of my time,20%,Strongly agree,Strongly agree,Strongly agree,I知 20% more productive when working remotely,1.5,10,4.5,-1,0.5,11,3.5,1,Feeling left out and/or isolated,Preparing for work and commuting
431,1991,Female,Retail Trade,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,Sales ,Sales Support ,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,100% - All of my time,100% - I spent all of my time remote working,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,100% - All of my time,100% - All of my time,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,1,8,5,2,0,8,6,2,Caring responsibilities,My on-the-job learning opportunities
432,1987,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,More than 5 years,Metro,20%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,10%,80%,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,20%,20%,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,I知 20% less productive when working remotely,0.5,8,4,2,0.1,8,6,2,Poor management,My on-the-job learning opportunities
433,1985,Male,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Regional,20%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,40%,60%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,60%,50% - About half of my time,Somewhat disagree,Somewhat agree,Neither agree nor disagree,My productivity is about same when I work remotely,0.25,9.5,4,2,0,9,5,2,Feeling left out and/or isolated,Managing my family responsibilities
434,1961,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Personal Assistants and Secretaries,More than 200,No,Couple with no dependent children,More than 5 years,Regional,Rarely or never ,NA,NA,NA,NA,NA,NA,I would not have preferred to work remotely ,100% - I spent all of my time remote working,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,I would not have preferred to work remotely ,I would prefer not to work remotely ,Strongly disagree,Strongly disagree,Strongly disagree,My productivity is about same when I work remotely,1,8,4,2,0.5,8,4,2,Feeling left out and/or isolated,My work-life balance
435,1968,Male,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Machinery operators and drivers,Machine and Stationary Plant Operators,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,20%,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,20%,100% - I spent all of my time remote working,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,10%,Less than 10% of my time,Strongly disagree,Somewhat disagree,Strongly disagree,I知 50% less productive when working remotely (or less),0,10,14,0,0,3,17,4,Poor management,The number of hours  I work
436,1986,Female,Financial and Insurance Services,Insurance and Superannuation Funds,Clerical and administrative ,Other Clerical and Administrative ,Between 20 and 199,Yes,Group household,More than 5 years,Regional,Rarely or never ,NA,NA,NA,NA,NA,NA,I would not have preferred to work remotely ,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,100% - All of my time,100% - All of my time,Somewhat disagree,Somewhat agree,Somewhat agree,I知 50% more productive when working remotely (or more),1,8,3,3,0.5,10,2,3,Feeling left out and/or isolated,My work-life balance
437,1956,Male,Financial and Insurance Services,Finance,Sales ,Sales Representatives and Agents,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,Less than 10% of my time,100% - I spent all of my time remote working,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,I would not have preferred to work remotely ,Less than 10% of my time,Strongly agree,Somewhat agree,Strongly agree,I知 50% less productive when working remotely (or less),1,7,3,1,0,8,3,1,"IT equipment (computer, printer, etc.)",Managing my family responsibilities
438,1968,Male,Information Media and Telecommunications,"Internet Service Providers, Web Search Portals and Data Processing Services",Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Strongly agree,Strongly agree,I知 50% more productive when working remotely (or more),1,7,4,0,0,8,7,0,Feeling left out and/or isolated,My work-life balance
439,1973,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Personal Assistants and Secretaries,More than 200,Yes,Single person,Between 6 and 12 months,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,1.5,9,5,7,2,10,4,5,Caring responsibilities,My working relationships
440,1984,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,Education Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,50% - About half of my time,70%,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,50% - About half of my time,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,I知 20% less productive when working remotely,2.5,7,3,1,0.5,7,3,1,Poor management,Preparing for work and commuting
441,1967,Male,Public Administration and Safety,Public Administration,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,Yes,Single person,Between 6 and 12 months,Metro,80%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,70%,90%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,60%,50% - About half of my time,Somewhat agree,Strongly agree,Somewhat agree,My productivity is about same when I work remotely,1,9,4,0,0,9,5,0,Difficulty collaborating remotely,Preparing for work and commuting
442,1964,Male,Financial and Insurance Services,Finance,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,Less than 10% of my time,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,50% - About half of my time,30%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,50% - About half of my time,40%,Strongly disagree,Somewhat disagree,Strongly disagree,My productivity is about same when I work remotely,2,8,2,1,0.5,9,3,2,"IT equipment (computer, printer, etc.)",The number of hours  I work
443,1963,Female,Other Services,Personal and Other Services,Sales ,Sales Representatives and Agents,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,100% - All of my time,100% - I spent all of my time remote working,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,100% - All of my time,100% - All of my time,Somewhat agree,Neither agree nor disagree,Somewhat agree,I知 20% more productive when working remotely,4,7,0.5,0,0,8,0.5,0.5,"IT equipment (computer, printer, etc.)",Preparing for work and commuting
444,1961,Male,Financial and Insurance Services,Finance,Managers,Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,10%,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,80%,80%,Somewhat agree,Somewhat agree,Somewhat agree,I知 10% more productive when working remotely,3.5,8,3,1.5,0.5,9,5,1.5,Feeling left out and/or isolated,My work-life balance
445,1971,Female,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Single person,More than 5 years,Regional,Less than 10% of my time,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Less than 10% of my time,Rarely or never ,NA,NA,NA,NA,NA,NA,Less than 10% of my time,Less than 10% of my time,Strongly disagree,Strongly disagree,Strongly disagree,I知 10% less productive when working remotely,0.5,10,4,1,0,7,5,2,Feeling left out and/or isolated,Preparing for work and commuting
446,1994,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,Health Professionals,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,Less than 10% of my time,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Less than 10% of my time,Less than 10% of my time,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Less than 10% of my time,Less than 10% of my time,Somewhat disagree,Somewhat disagree,Somewhat disagree,My productivity is about same when I work remotely,2,8,2,2,0,8,2,2,"IT equipment (computer, printer, etc.)",Managing my family responsibilities
447,1978,Male,Wholesale Trade,Other Goods Wholesaling,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Single person,More than 5 years,Metro,50% - I spent about half of my time remote working,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Less than 10% of my time,100% - I spent all of my time remote working,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,100% - All of my time,70%,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,I知 20% more productive when working remotely,2,9,3.5,2,0.5,9,4.5,2.5,Poor management,My work-life balance
448,1966,Female,Manufacturing,Furniture and Other Manufacturing,Managers,Specialist Managers,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,20%,60%,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,20%,20%,Somewhat agree,Somewhat agree,Somewhat agree,I知 10% more productive when working remotely,2,8,3,1,0.45,9,3,1,Feeling left out and/or isolated,Preparing for work and commuting
449,1965,Male,Manufacturing,Furniture and Other Manufacturing,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Neither agree nor disagree,Somewhat agree,I知 50% more productive when working remotely (or more),1,9,2,2,2,12,5,5,Connectivity (internet connection),The number of hours  I work
450,1965,Male,"Electricity, Gas, Water and Waste Services","Water Supply, Sewerage and Drainage Services",Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,80%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,80%,Strongly agree,Strongly agree,Strongly agree,I知 50% more productive when working remotely (or more),2,6,4,6,1,8,2,4,"IT equipment (computer, printer, etc.)",My work-life balance
451,1960,Female,Health Care and Social Assistance,Hospitals,Professionals,ICT Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,10%,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,30%,80%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,80%,80%,Somewhat agree,Strongly agree,Strongly agree,I知 50% more productive when working remotely (or more),1,7,4,2,0,8,4,2,Connectivity (internet connection),My work-life balance
452,1988,Male,Retail Trade,Other Store-Based Retailing,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,40%,60%,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,40%,30%,Strongly disagree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,1.5,10,4,1,0.5,10,5,2,Poor management,My work-life balance
453,1958,Female,"Agriculture, Forestry and Fishing",Agriculture,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,2,9,2,2,0.5,10,2,2,Caring responsibilities,The number of hours  I work
454,1959,Female,Financial and Insurance Services,Finance,Clerical and administrative ,Clerical and Office Support ,Between 5 and 19,No,Single person,Between 6 and 12 months,Regional,Rarely or never ,NA,NA,NA,NA,NA,NA,I would not have preferred to work remotely ,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,100% - All of my time,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1,7,2,1.5,0.5,7,2,2,Feeling left out and/or isolated,Preparing for work and commuting
455,1959,Male,"Electricity, Gas, Water and Waste Services","Waste Collection, Treatment and Disposal Services",Sales ,Sales Assistants and Salespersons,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,40%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,60%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,60%,Strongly agree,Strongly agree,Strongly agree,I知 20% more productive when working remotely,2,9,2,1,0.5,9,3.5,1,Poor management,My work-life balance
456,1963,Female,Manufacturing,Beverage and Tobacco Product Manufacturing,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,No,One  parent family with dependent children,Between 6 and 12 months,Metro,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,20%,20%,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,80%,80%,Neither agree nor disagree,Somewhat agree,Somewhat agree,I知 40% more productive when working remotely,0.2,7,2,3,1,8,5,1,Poor management,Preparing for work and commuting
457,1996,Female,Health Care and Social Assistance,Hospitals,Professionals,Health Professionals,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,Less than 10% of my time,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Less than 10% of my time,20%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,20%,I would prefer not to work remotely ,Somewhat disagree,Strongly disagree,Strongly agree,My productivity is about same when I work remotely,0.5,14,4,2,0.5,14,4,2,Connectivity (internet connection),My working relationships
458,1984,Male,Information Media and Telecommunications,Publishing (except Internet and Music Publishing),Professionals,Arts and Media Professionals,Between 5 and 19,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,30%,30%,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,30%,30%,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,2,8,3,2,0,9,4,3,Feeling left out and/or isolated,My work-life balance
459,1959,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,40%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,100% - All of my time,80%,Somewhat agree,Strongly agree,Strongly agree,I知 50% more productive when working remotely (or more),3,9,4,1,0,10,6,2,"IT equipment (computer, printer, etc.)",My work-life balance
460,1961,Male,Other Services,Personal and Other Services,Clerical and administrative ,Office Managers and Program Administrators,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,50% - I spent about half of my time remote working,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,50% - About half of my time,70%,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,90%,50% - About half of my time,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,I知 10% more productive when working remotely,4,7.5,4,2,0.5,8,6,3,"IT equipment (computer, printer, etc.)",My work-life balance
461,1980,Male,Administrative and Support Services,Administrative Services,Clerical and administrative ,Other Clerical and Administrative ,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,100% - All of my time,80%,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,100% - All of my time,90%,Somewhat disagree,Strongly disagree,Somewhat disagree,I知 30% more productive when working remotely,2,8,3,1,0.5,8,4,1,Poor management,Preparing for work and commuting
462,1972,Female,Health Care and Social Assistance,Social Assistance Services,Community and personal service ,Carers and Aides,I am the only employee,No,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,50% - About half of my time,20%,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,50% - About half of my time,50% - About half of my time,Strongly disagree,Strongly disagree,Strongly disagree,I知 10% less productive when working remotely,1,8,2,5,0,7,4,7,Poor management,My on-the-job learning opportunities
463,1965,Male,Financial and Insurance Services,Finance,Sales ,Sales Representatives and Agents,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,40%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,10%,20%,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1,8,3,2,1,9,2,2,Connectivity (internet connection),My work-life balance
464,1970,Male,Education and Training,Tertiary Education,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,Between 6 and 12 months,Metro,Less than 10% of my time,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Less than 10% of my time,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Less than 10% of my time,Less than 10% of my time,Somewhat agree,Somewhat agree,Somewhat agree,I知 10% less productive when working remotely,0.5,9,2,5,0,10,1,1,Caring responsibilities,Preparing for work and commuting
465,1988,Male,Retail Trade,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,Managers,"Chief Executives, General Managers and Legislators",I am the only employee,No,Group household,More than 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,0,6,2,1,0,6,2,1,"IT equipment (computer, printer, etc.)",The number of hours  I work
466,1980,Female,Information Media and Telecommunications,Telecommunications Services,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,20%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,20%,40%,Strongly agree,Somewhat agree,Strongly agree,I知 30% more productive when working remotely,1,8.5,5,1,0,10,5,1,"IT equipment (computer, printer, etc.)",Preparing for work and commuting
467,1963,Male,Financial and Insurance Services,Finance,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,More than 5 years,Metro,Less than 10% of my time,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,10%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,80%,Somewhat agree,Somewhat agree,Neither agree nor disagree,I知 30% more productive when working remotely,1.5,7.5,4,4,0.5,8,8,4,"IT equipment (computer, printer, etc.)",My work-life balance
468,1961,Male,"Electricity, Gas, Water and Waste Services",Electricity Supply,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,20%,40%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,50% - About half of my time,20%,Somewhat agree,Somewhat agree,Strongly agree,I知 30% more productive when working remotely,1.5,9,0.5,4,0.5,11,1,4,Difficulty collaborating remotely,Preparing for work and commuting
469,1980,Male,Retail Trade,Fuel Retailing,Professionals,ICT Professionals,More than 200,Yes,Single person,More than 5 years,Metro,Less than 10% of my time,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,100% - All of my time,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,0.5,9,13.5,1,0,9,14,1,Difficulty collaborating remotely,My work-life balance
470,1973,Male,Financial and Insurance Services,Finance,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,10%,100% - I spent all of my time remote working,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,10%,40%,Somewhat agree,Somewhat agree,Somewhat agree,I知 10% less productive when working remotely,1.5,8,3,1,0.5,8,4,1,"IT equipment (computer, printer, etc.)",My work-life balance
